registered_postcode,mean_age,total_vehicles
3465,15.21,6426
3467,14.44,853
3468,15.94,212
3469,14.61,186
3472,17.39,1095
3475,16.01,275
3477,15.38,446
3478,15.34,1668
3480,14.17,1095
3482,17.24,131
3483,12.11,543
3485,18.82,213
3490,14.23,699
3494,14.26,310
3496,14.11,3605
3498,12.68,3515
3500,12.87,21126
3501,10.71,1768
3505,14.6,2769
3507,16.44,129
3509,15.31,143
3512,16.26,220
3515,13.63,1655
3516,14.81,481
3517,14.89,971
3518,17.65,977
3520,19.17,124
3521,14.12,463
3522,15.05,217
3523,15.51,2881
3525,15.38,848
3527,14.0,495
3530,12.3,106
3531,13.54,171
3533,14.65,497
3537,13.47,623
3540,16.34,207
3542,15.99,104
3544,15.78,197
3546,12.95,241
3549,15.64,2948
3550,12.53,26937
3551,12.14,23505
3552,9.85,168
3555,13.1,13041
3556,14.12,8955
3557,16.43,569
3558,13.58,564
3559,16.35,332
3561,13.19,2764
3562,15.81,258
3563,14.89,450
3564,12.6,11743
3566,13.82,326
3567,14.56,436
3568,13.22,1994
3570,16.39,495
3571,15.18,219
3572,14.75,132
3573,14.83,233
3575,15.25,489
3579,14.21,3320
3580,14.85,739
3581,15.17,151
3583,13.34,141
3584,13.78,709
3585,12.63,7113
3586,14.51,426
3588,15.17,229
3589,16.25,224
3590,15.91,173
3591,11.24,111
3594,15.45,398
3595,15.45,344
3597,15.34,350
3599,15.37,123
3607,11.93,126
3608,13.19,2145
3610,15.76,970
3612,17.29,1284
3614,13.99,540
3616,13.46,3595
3617,16.33,112
3618,14.6,492
3620,13.47,5300
3621,15.06,1482
3622,13.92,308
3623,15.21,581
3624,14.0,324
3629,14.3,5942
3630,12.83,21251
3631,12.22,9806
3633,13.84,333
3634,14.86,1130
3635,14.53,359
3636,14.14,3454
3637,15.37,336
3638,13.18,1392
3639,15.45,383
3640,16.05,634
3641,15.27,801
3644,13.19,6536
3646,13.89,353
3649,14.41,254
3658,13.94,4174
3659,15.78,528
3660,13.09,5075
3662,9.68,363
3663,12.9,150
3664,12.71,815
3665,12.93,299
3666,13.93,3272
3669,14.48,906
3670,15.87,374
3672,13.81,7415
3673,15.05,1086
3675,14.7,1169
3677,12.98,12060
3678,13.61,4362
3682,15.38,402
3683,14.55,1259
3685,14.01,2008
3687,12.91,734
3688,13.32,905
3690,12.05,24727
3691,11.93,8422
3695,13.51,308
3697,13.68,406
3698,12.8,624
3699,14.54,707
3700,15.16,960
3701,14.6,706
3705,15.47,167
3707,14.43,1116
3709,16.67,245
3711,15.09,407
3712,14.89,280
3713,15.29,796
3714,14.31,2579
3715,16.11,221
3717,14.27,2226
3719,13.45,293
3720,13.93,584
3722,13.33,4017
3723,14.22,2161
3725,14.13,399
3726,16.29,249
3727,16.84,255
3728,14.61,403
3730,12.3,6926
3732,15.32,404
3733,11.94,156
3735,13.37,443
3737,13.82,2948
3738,14.21,156
3739,18.17,175
3740,14.51,805
3741,13.08,2194
3744,13.45,320
3746,16.01,255
3747,12.82,3208
3749,13.81,1370
3750,10.2,19189
3751,18.14,168
3752,10.73,16054
3753,10.89,4959
3754,10.22,30083
3755,13.32,195
3756,12.13,11593
3757,13.55,5896
3758,13.31,1432
3759,13.48,664
3760,16.13,276
3761,13.52,803
3762,17.26,109
3763,14.52,1120
3764,12.57,7013
3765,12.54,4229
3766,13.9,872
3767,12.42,768
3770,13.22,2051
3775,13.31,2560
3777,13.32,6938
3778,14.93,171
3779,13.69,372
3781,13.53,2715
3782,13.25,5245
3783,14.09,1589
3786,12.87,971
3787,12.29,661
3788,13.24,1239
3789,16.77,205
3791,13.41,999
3792,13.5,744
3793,13.34,2291
3795,14.77,904
3796,13.08,6080
3797,13.88,2388
3799,15.93,3730
