POA_CODE21,lon,lat
2225,151.07468704333337,-34.01086421566663
2226,151.0653643476667,-34.013540344666616
2227,151.088601151061,-34.03992180472989
2228,151.10402087107923,-34.03404204734975
2229,151.12421612640136,-34.03697613502228
2230,151.1451104127755,-34.04448647565895
2231,151.1983847101971,-34.02699154334987
2232,151.06749965898354,-34.10257066277306
2233,150.99425439977693,-34.08951132505214
2234,151.00504477013786,-34.01854590663171
2250,151.21468524400638,-33.32021584610925
2251,151.40226983402204,-33.47549029892223
2256,151.27265371168838,-33.50732362145375
2257,151.39127688174284,-33.514108117819916
2258,151.33992451058765,-33.31866054207974
2259,151.38151765589336,-33.187788731674075
2260,151.4394261354109,-33.42700429280581
2261,151.44010766555365,-33.36498446044397
2262,151.52700680552655,-33.20280510787546
2263,151.50328947731808,-33.238326909672246
2264,151.46762471786408,-33.10999513033392
2265,151.429073062967,-33.04870781293494
2267,151.5670630973334,-33.06154751833329
2278,151.55109513030013,-32.946218627464525
2280,151.66852151512273,-33.026082840191926
2281,151.62691961929536,-33.13089066318148
2282,151.65145371096503,-32.978986156949254
2283,151.56010137789715,-33.01508315309584
2284,151.61112764765363,-32.95472587653536
2285,151.63267782867663,-32.92107357827744
2286,151.56789303502634,-32.89676985853288
2287,151.65491211199162,-32.891948915457256
2289,151.7082840850194,-32.945987156465236
2290,151.69871719938257,-32.98180600907187
2291,151.74455217952266,-32.94706272433658
2292,151.73225082192278,-32.92189258376132
2293,151.7568032686217,-32.916609130279156
2294,151.76100059134177,-32.904158548441025
2295,151.81671614014385,-32.865075489235494
2296,151.7460989647528,-32.91348917446891
2297,151.7506456497373,-32.907845364365414
2298,151.720369046472,-32.90343665181559
2299,151.7030922736548,-32.90867248957116
2300,151.76278172398113,-32.933393094857635
2302,151.7586666193334,-32.92718151833329
2303,151.74728390530765,-32.92810132179653
2304,151.74153096940643,-32.87585457932984
2305,151.70021279733038,-32.925938703231495
2306,151.68149320400005,-32.99732452899995
2307,151.69369607036677,-32.874947038628136
2308,151.70541984387256,-32.89123972680146
2311,151.4752886851619,-32.26857242996713
2312,152.39058470286454,-32.12840610033014
2315,152.14640105609772,-32.7361957127236
2316,152.04180320130934,-32.77077913047226
2317,152.09502452600006,-32.73602297999997
2318,151.86723917128742,-32.76142235056436
2319,152.0031254903314,-32.742306044128576
2320,151.54377736712144,-32.687945891835064
2321,151.81072452902745,-32.560211170562674
2322,151.65267037305702,-32.82174668142408
2323,151.50882750053213,-32.8870865485286
2324,151.91976853143973,-32.656331242705186
2325,151.14647601033676,-32.955444040153736
2326,151.45446076889385,-32.78492492189501
2327,151.48146524780464,-32.828900624336434
2328,150.50879305676068,-32.56340469186116
2329,150.18109245578998,-32.05831471973482
2330,150.91278867470348,-32.65895357807508
2331,151.18403523301512,-32.700556849803036
2333,150.68404134520588,-32.350506444419594
2334,151.38648096088724,-32.69132161537192
2335,151.37321183737257,-32.617543555105904
2336,151.06554953776651,-32.140653514344244
2337,151.081488513684,-31.903508080918247
2338,150.98481477367847,-31.702043390174524
2339,150.5234589866315,-31.73654074340091
2340,150.98190632302752,-31.243391170653176
2341,150.62672726123566,-31.352384749364525
2342,150.5974332807648,-31.185569371979582
2343,150.3814479485436,-31.52277729416233
2344,150.74907340250127,-31.14827155422703
2345,150.8399401961258,-30.89966462500112
2346,150.7602747696015,-30.688336117665376
2347,150.5605472633405,-30.319149719617535
2350,151.9019212969762,-30.465036840854644
2352,151.15899456289625,-31.089959744617353
2353,151.04861537860097,-30.94819967327251
2354,151.73367935158115,-31.149259596659554
2355,151.11579551084023,-30.747822126238365
2356,148.97605757756602,-30.56467288117819
2357,149.3605709911728,-31.212153897867285
2358,151.37171363266162,-30.58371717963895
2359,151.01272355142953,-30.17847610062055
2360,151.10804482464079,-29.6527660613712
2361,151.16150071825055,-29.21661994366872
2365,151.58661508269918,-30.10663455067412
2369,151.23594941957825,-29.94990093543243
2370,151.97054972041215,-29.685099349540444
2371,151.6843220218368,-29.373857983147502
2372,152.02663550489353,-29.027071246752065
2379,149.7923248847298,-31.10511122596941
2380,150.18640858636618,-30.92743144361202
2381,150.07005006063028,-31.322959542106208
2382,150.09678959713068,-30.66025873550612
2386,148.93435637755235,-30.059172929936494
2387,148.9446346486942,-29.75378641551103
2388,149.27815360773,-30.436892457258082
2390,149.9135125323353,-30.24369535689373
2395,149.4809298783538,-31.559777405420384
2396,149.02604717197585,-30.90594414080599
2397,149.65013852975454,-29.885342070705086
2398,149.82121573458622,-29.732210682341425
2399,150.15957766725631,-29.462079873016126
2400,149.6758951167694,-29.376394408724796
2401,150.32091669914064,-29.629993015657696
2402,150.55241685160203,-29.412424793076458
2403,150.76940650343096,-29.622939870134253
2404,150.5716663877197,-29.919121861273467
2405,149.6240176167983,-28.905545408686567
2406,149.01809611196825,-28.98245639883655
2408,150.4811865371179,-29.01096551164058
2409,150.24660864760511,-28.71279822056816
2410,150.7765096047375,-28.94341189146875
2411,150.3120950057385,-29.107734699717028
2415,151.82820473051888,-32.244951915711034
2420,151.68677910061788,-32.327770449542435
2421,151.55018543318926,-32.53849123260667
2422,151.818228916357,-31.9296782966451
2423,152.25921271745307,-32.37239126146101
2424,152.00840827744497,-31.657096079821475
