"year_of_manufacture","vehicle_type","motive_power","no_vehicles"
"1965","Articulated trucks","Other",0
"1966","Articulated trucks","Other",0
"1967","Articulated trucks","Other",0
"1968","Articulated trucks","Other",0
"1969","Articulated trucks","Other",0
"1970","Articulated trucks","Other",0
"1971","Articulated trucks","Other",0
"1972","Articulated trucks","Other",0
"1973","Articulated trucks","Other",0
"1974","Articulated trucks","Other",0
"1975","Articulated trucks","Other",0
"1976","Articulated trucks","Other",0
"1977","Articulated trucks","Other",0
"1978","Articulated trucks","Other",0
"1979","Articulated trucks","Other",0
"1980","Articulated trucks","Other",0
"1981","Articulated trucks","Other",0
"1982","Articulated trucks","Other",0
"1983","Articulated trucks","Other",0
"1984","Articulated trucks","Other",0
"1985","Articulated trucks","Other",0
"1986","Articulated trucks","Other",0
"1987","Articulated trucks","Other",0
"1988","Articulated trucks","Other",0
"1989","Articulated trucks","Other",0
"1990","Articulated trucks","Other",0
"1991","Articulated trucks","Other",0
"1992","Articulated trucks","Other",0
"1993","Articulated trucks","Other",0
"1994","Articulated trucks","Other",0
"1995","Articulated trucks","Other",0
"1996","Articulated trucks","Other",0
"1997","Articulated trucks","Other",0
"1998","Articulated trucks","Other",3
"1999","Articulated trucks","Other",0
"2000","Articulated trucks","Other",0
"2001","Articulated trucks","Other",0
"2002","Articulated trucks","Other",0
"2003","Articulated trucks","Other",3
"2004","Articulated trucks","Other",0
"2005","Articulated trucks","Other",3
"2006","Articulated trucks","Other",4
"2007","Articulated trucks","Other",6
"2008","Articulated trucks","Other",0
"2009","Articulated trucks","Other",0
"2010","Articulated trucks","Other",3
"2011","Articulated trucks","Other",0
"2012","Articulated trucks","Other",0
"2013","Articulated trucks","Other",4
"2014","Articulated trucks","Other",0
"2015","Articulated trucks","Other",0
"2016","Articulated trucks","Other",3
"2017","Articulated trucks","Other",0
"2018","Articulated trucks","Other",0
"2019","Articulated trucks","Other",0
"2020","Articulated trucks","Other",0
"2021","Articulated trucks","Other",3
"2022","Articulated trucks","Other",0
"2023","Articulated trucks","Other",0
"2024","Articulated trucks","Other",0
"2025","Articulated trucks","Other",0
"Not stated","Articulated trucks","Other",0
"1901","Non-freight-carrying vehicles","Petrol",0
"1902","Non-freight-carrying vehicles","Petrol",0
"1903","Non-freight-carrying vehicles","Petrol",0
"1904","Non-freight-carrying vehicles","Petrol",0
"1905","Non-freight-carrying vehicles","Petrol",0
"1906","Non-freight-carrying vehicles","Petrol",3
"1907","Non-freight-carrying vehicles","Petrol",0
"1908","Non-freight-carrying vehicles","Petrol",0
"1909","Non-freight-carrying vehicles","Petrol",0
"1910","Non-freight-carrying vehicles","Petrol",0
"1911","Non-freight-carrying vehicles","Petrol",0
"1912","Non-freight-carrying vehicles","Petrol",0
"1913","Non-freight-carrying vehicles","Petrol",0
"1914","Non-freight-carrying vehicles","Petrol",0
"1915","Non-freight-carrying vehicles","Petrol",0
"1916","Non-freight-carrying vehicles","Petrol",0
"1917","Non-freight-carrying vehicles","Petrol",0
"1918","Non-freight-carrying vehicles","Petrol",0
"1919","Non-freight-carrying vehicles","Petrol",3
"1920","Non-freight-carrying vehicles","Petrol",0
"1921","Non-freight-carrying vehicles","Petrol",0
"1922","Non-freight-carrying vehicles","Petrol",0
"1923","Non-freight-carrying vehicles","Petrol",3
"1924","Non-freight-carrying vehicles","Petrol",3
"1925","Non-freight-carrying vehicles","Petrol",4
"1926","Non-freight-carrying vehicles","Petrol",4
"1927","Non-freight-carrying vehicles","Petrol",4
"1928","Non-freight-carrying vehicles","Petrol",0
"1929","Non-freight-carrying vehicles","Petrol",3
"1930","Non-freight-carrying vehicles","Petrol",0
"1931","Non-freight-carrying vehicles","Petrol",3
"1932","Non-freight-carrying vehicles","Petrol",3
"1933","Non-freight-carrying vehicles","Petrol",0
"1934","Non-freight-carrying vehicles","Petrol",0
"1935","Non-freight-carrying vehicles","Petrol",0
"1936","Non-freight-carrying vehicles","Petrol",3
"1937","Non-freight-carrying vehicles","Petrol",3
"1938","Non-freight-carrying vehicles","Petrol",3
"1939","Non-freight-carrying vehicles","Petrol",6
"1940","Non-freight-carrying vehicles","Petrol",0
"1941","Non-freight-carrying vehicles","Petrol",0
"1942","Non-freight-carrying vehicles","Petrol",8
"1943","Non-freight-carrying vehicles","Petrol",3
"1944","Non-freight-carrying vehicles","Petrol",0
"1945","Non-freight-carrying vehicles","Petrol",0
"1946","Non-freight-carrying vehicles","Petrol",3
"1947","Non-freight-carrying vehicles","Petrol",0
"1948","Non-freight-carrying vehicles","Petrol",3
"1949","Non-freight-carrying vehicles","Petrol",0
"1950","Non-freight-carrying vehicles","Petrol",0
"1951","Non-freight-carrying vehicles","Petrol",0
"1952","Non-freight-carrying vehicles","Petrol",3
"1953","Non-freight-carrying vehicles","Petrol",0
"1954","Non-freight-carrying vehicles","Petrol",5
"1955","Non-freight-carrying vehicles","Petrol",3
"1956","Non-freight-carrying vehicles","Petrol",7
"1957","Non-freight-carrying vehicles","Petrol",3
"1958","Non-freight-carrying vehicles","Petrol",7
"1959","Non-freight-carrying vehicles","Petrol",7
"1960","Non-freight-carrying vehicles","Petrol",7
"1961","Non-freight-carrying vehicles","Petrol",3
"1962","Non-freight-carrying vehicles","Petrol",8
"1963","Non-freight-carrying vehicles","Petrol",10
"1964","Non-freight-carrying vehicles","Petrol",13
"1965","Non-freight-carrying vehicles","Petrol",10
"1966","Non-freight-carrying vehicles","Petrol",6
"1967","Non-freight-carrying vehicles","Petrol",15
"1968","Non-freight-carrying vehicles","Petrol",22
"1969","Non-freight-carrying vehicles","Petrol",17
"1970","Non-freight-carrying vehicles","Petrol",30
"1971","Non-freight-carrying vehicles","Petrol",39
"1972","Non-freight-carrying vehicles","Petrol",20
"1973","Non-freight-carrying vehicles","Petrol",21
"1974","Non-freight-carrying vehicles","Petrol",22
"1975","Non-freight-carrying vehicles","Petrol",30
"1976","Non-freight-carrying vehicles","Petrol",36
"1977","Non-freight-carrying vehicles","Petrol",30
"1978","Non-freight-carrying vehicles","Petrol",22
"1979","Non-freight-carrying vehicles","Petrol",23
"1980","Non-freight-carrying vehicles","Petrol",16
"1981","Non-freight-carrying vehicles","Petrol",43
"1982","Non-freight-carrying vehicles","Petrol",25
"1983","Non-freight-carrying vehicles","Petrol",39
"1984","Non-freight-carrying vehicles","Petrol",25
"1985","Non-freight-carrying vehicles","Petrol",15
"1986","Non-freight-carrying vehicles","Petrol",10
"1987","Non-freight-carrying vehicles","Petrol",10
"1988","Non-freight-carrying vehicles","Petrol",24
"1989","Non-freight-carrying vehicles","Petrol",36
"1990","Non-freight-carrying vehicles","Petrol",25
"1991","Non-freight-carrying vehicles","Petrol",26
"1992","Non-freight-carrying vehicles","Petrol",35
"1993","Non-freight-carrying vehicles","Petrol",30
"1994","Non-freight-carrying vehicles","Petrol",19
"1995","Non-freight-carrying vehicles","Petrol",32
"1996","Non-freight-carrying vehicles","Petrol",43
"1997","Non-freight-carrying vehicles","Petrol",43
"1998","Non-freight-carrying vehicles","Petrol",37
"1999","Non-freight-carrying vehicles","Petrol",28
"2000","Non-freight-carrying vehicles","Petrol",36
"2001","Non-freight-carrying vehicles","Petrol",19
"2002","Non-freight-carrying vehicles","Petrol",24
"2003","Non-freight-carrying vehicles","Petrol",24
"2004","Non-freight-carrying vehicles","Petrol",31
"2005","Non-freight-carrying vehicles","Petrol",55
"2006","Non-freight-carrying vehicles","Petrol",45
"2007","Non-freight-carrying vehicles","Petrol",57
"2008","Non-freight-carrying vehicles","Petrol",57
"2009","Non-freight-carrying vehicles","Petrol",36
"2010","Non-freight-carrying vehicles","Petrol",32
"2011","Non-freight-carrying vehicles","Petrol",29
"2012","Non-freight-carrying vehicles","Petrol",36
"2013","Non-freight-carrying vehicles","Petrol",44
"2014","Non-freight-carrying vehicles","Petrol",39
"2015","Non-freight-carrying vehicles","Petrol",38
"2016","Non-freight-carrying vehicles","Petrol",66
"2017","Non-freight-carrying vehicles","Petrol",43
"2018","Non-freight-carrying vehicles","Petrol",27
"2019","Non-freight-carrying vehicles","Petrol",31
"2020","Non-freight-carrying vehicles","Petrol",24
"2021","Non-freight-carrying vehicles","Petrol",49
"2022","Non-freight-carrying vehicles","Petrol",30
"2023","Non-freight-carrying vehicles","Petrol",37
"2024","Non-freight-carrying vehicles","Petrol",15
"2025","Non-freight-carrying vehicles","Petrol",0
"Not stated","Non-freight-carrying vehicles","Petrol",3
"1901","Non-freight-carrying vehicles","Diesel",0
"1902","Non-freight-carrying vehicles","Diesel",0
"1903","Non-freight-carrying vehicles","Diesel",0
"1904","Non-freight-carrying vehicles","Diesel",0
"1905","Non-freight-carrying vehicles","Diesel",0
"1906","Non-freight-carrying vehicles","Diesel",0
"1907","Non-freight-carrying vehicles","Diesel",0
"1908","Non-freight-carrying vehicles","Diesel",0
"1909","Non-freight-carrying vehicles","Diesel",0
"1910","Non-freight-carrying vehicles","Diesel",0
"1911","Non-freight-carrying vehicles","Diesel",0
"1912","Non-freight-carrying vehicles","Diesel",0
"1913","Non-freight-carrying vehicles","Diesel",0
"1914","Non-freight-carrying vehicles","Diesel",0
"1915","Non-freight-carrying vehicles","Diesel",0
"1916","Non-freight-carrying vehicles","Diesel",0
"1917","Non-freight-carrying vehicles","Diesel",0
"1918","Non-freight-carrying vehicles","Diesel",0
"1919","Non-freight-carrying vehicles","Diesel",0
"1920","Non-freight-carrying vehicles","Diesel",0
"1921","Non-freight-carrying vehicles","Diesel",0
"1922","Non-freight-carrying vehicles","Diesel",0
"1923","Non-freight-carrying vehicles","Diesel",0
"1924","Non-freight-carrying vehicles","Diesel",3
"1925","Non-freight-carrying vehicles","Diesel",0
"1926","Non-freight-carrying vehicles","Diesel",0
"1927","Non-freight-carrying vehicles","Diesel",0
"1928","Non-freight-carrying vehicles","Diesel",0
"1929","Non-freight-carrying vehicles","Diesel",0
"1930","Non-freight-carrying vehicles","Diesel",0
"1931","Non-freight-carrying vehicles","Diesel",0
"1932","Non-freight-carrying vehicles","Diesel",0
"1933","Non-freight-carrying vehicles","Diesel",0
"1934","Non-freight-carrying vehicles","Diesel",0
"1935","Non-freight-carrying vehicles","Diesel",0
"1936","Non-freight-carrying vehicles","Diesel",0
"1937","Non-freight-carrying vehicles","Diesel",0
"1938","Non-freight-carrying vehicles","Diesel",0
"1939","Non-freight-carrying vehicles","Diesel",0
"1940","Non-freight-carrying vehicles","Diesel",0
"1941","Non-freight-carrying vehicles","Diesel",0
"1942","Non-freight-carrying vehicles","Diesel",0
"1943","Non-freight-carrying vehicles","Diesel",0
"1944","Non-freight-carrying vehicles","Diesel",0
"1945","Non-freight-carrying vehicles","Diesel",0
"1946","Non-freight-carrying vehicles","Diesel",0
"1947","Non-freight-carrying vehicles","Diesel",0
"1948","Non-freight-carrying vehicles","Diesel",0
"1949","Non-freight-carrying vehicles","Diesel",0
"1950","Non-freight-carrying vehicles","Diesel",3
"1951","Non-freight-carrying vehicles","Diesel",0
"1952","Non-freight-carrying vehicles","Diesel",0
"1953","Non-freight-carrying vehicles","Diesel",0
"1954","Non-freight-carrying vehicles","Diesel",0
"1955","Non-freight-carrying vehicles","Diesel",3
"1956","Non-freight-carrying vehicles","Diesel",3
"1957","Non-freight-carrying vehicles","Diesel",0
"1958","Non-freight-carrying vehicles","Diesel",0
"1959","Non-freight-carrying vehicles","Diesel",0
"1960","Non-freight-carrying vehicles","Diesel",0
"1961","Non-freight-carrying vehicles","Diesel",0
"1962","Non-freight-carrying vehicles","Diesel",3
"1963","Non-freight-carrying vehicles","Diesel",3
"1964","Non-freight-carrying vehicles","Diesel",0
"1965","Non-freight-carrying vehicles","Diesel",4
"1966","Non-freight-carrying vehicles","Diesel",0
"1967","Non-freight-carrying vehicles","Diesel",3
"1968","Non-freight-carrying vehicles","Diesel",6
"1969","Non-freight-carrying vehicles","Diesel",5
"1970","Non-freight-carrying vehicles","Diesel",14
"1971","Non-freight-carrying vehicles","Diesel",9
"1972","Non-freight-carrying vehicles","Diesel",12
"1973","Non-freight-carrying vehicles","Diesel",16
"1974","Non-freight-carrying vehicles","Diesel",16
"1975","Non-freight-carrying vehicles","Diesel",12
"1976","Non-freight-carrying vehicles","Diesel",27
"1977","Non-freight-carrying vehicles","Diesel",23
"1978","Non-freight-carrying vehicles","Diesel",34
"1979","Non-freight-carrying vehicles","Diesel",31
"1980","Non-freight-carrying vehicles","Diesel",58
"1981","Non-freight-carrying vehicles","Diesel",50
"1982","Non-freight-carrying vehicles","Diesel",71
"1983","Non-freight-carrying vehicles","Diesel",59
"1984","Non-freight-carrying vehicles","Diesel",106
"1985","Non-freight-carrying vehicles","Diesel",156
"1986","Non-freight-carrying vehicles","Diesel",147
"1987","Non-freight-carrying vehicles","Diesel",218
"1988","Non-freight-carrying vehicles","Diesel",297
"1989","Non-freight-carrying vehicles","Diesel",233
"1990","Non-freight-carrying vehicles","Diesel",234
"1991","Non-freight-carrying vehicles","Diesel",220
"1992","Non-freight-carrying vehicles","Diesel",287
"1993","Non-freight-carrying vehicles","Diesel",224
"1994","Non-freight-carrying vehicles","Diesel",283
"1995","Non-freight-carrying vehicles","Diesel",344
"1996","Non-freight-carrying vehicles","Diesel",359
"1997","Non-freight-carrying vehicles","Diesel",336
"1998","Non-freight-carrying vehicles","Diesel",408
"1999","Non-freight-carrying vehicles","Diesel",514
"2000","Non-freight-carrying vehicles","Diesel",470
"2001","Non-freight-carrying vehicles","Diesel",498
"2002","Non-freight-carrying vehicles","Diesel",711
"2003","Non-freight-carrying vehicles","Diesel",634
"2004","Non-freight-carrying vehicles","Diesel",958
"2005","Non-freight-carrying vehicles","Diesel",1175
"2006","Non-freight-carrying vehicles","Diesel",1276
"2007","Non-freight-carrying vehicles","Diesel",1692
"2008","Non-freight-carrying vehicles","Diesel",1589
"2009","Non-freight-carrying vehicles","Diesel",1265
"2010","Non-freight-carrying vehicles","Diesel",1543
"2011","Non-freight-carrying vehicles","Diesel",1439
"2012","Non-freight-carrying vehicles","Diesel",1804
"2013","Non-freight-carrying vehicles","Diesel",1472
"2014","Non-freight-carrying vehicles","Diesel",1576
"2015","Non-freight-carrying vehicles","Diesel",1497
"2016","Non-freight-carrying vehicles","Diesel",1378
"2017","Non-freight-carrying vehicles","Diesel",1590
"2018","Non-freight-carrying vehicles","Diesel",1813
"2019","Non-freight-carrying vehicles","Diesel",2148
"2020","Non-freight-carrying vehicles","Diesel",1885
"2021","Non-freight-carrying vehicles","Diesel",2398
"2022","Non-freight-carrying vehicles","Diesel",2296
"2023","Non-freight-carrying vehicles","Diesel",2110
"2024","Non-freight-carrying vehicles","Diesel",1259
"2025","Non-freight-carrying vehicles","Diesel",34
"Not stated","Non-freight-carrying vehicles","Diesel",41
"1901","Non-freight-carrying vehicles","Dual fuel",0
"1902","Non-freight-carrying vehicles","Dual fuel",0
"1903","Non-freight-carrying vehicles","Dual fuel",0
"1904","Non-freight-carrying vehicles","Dual fuel",0
"1905","Non-freight-carrying vehicles","Dual fuel",0
"1906","Non-freight-carrying vehicles","Dual fuel",0
"1907","Non-freight-carrying vehicles","Dual fuel",0
"1908","Non-freight-carrying vehicles","Dual fuel",0
"1909","Non-freight-carrying vehicles","Dual fuel",0
"1910","Non-freight-carrying vehicles","Dual fuel",0
"1911","Non-freight-carrying vehicles","Dual fuel",0
"1912","Non-freight-carrying vehicles","Dual fuel",0
"1913","Non-freight-carrying vehicles","Dual fuel",0
"1914","Non-freight-carrying vehicles","Dual fuel",0
"1915","Non-freight-carrying vehicles","Dual fuel",0
"1916","Non-freight-carrying vehicles","Dual fuel",0
"1917","Non-freight-carrying vehicles","Dual fuel",0
"1918","Non-freight-carrying vehicles","Dual fuel",0
"1919","Non-freight-carrying vehicles","Dual fuel",0
"1920","Non-freight-carrying vehicles","Dual fuel",0
"1921","Non-freight-carrying vehicles","Dual fuel",0
"1922","Non-freight-carrying vehicles","Dual fuel",0
"1923","Non-freight-carrying vehicles","Dual fuel",0
"1924","Non-freight-carrying vehicles","Dual fuel",0
"1925","Non-freight-carrying vehicles","Dual fuel",0
"1926","Non-freight-carrying vehicles","Dual fuel",0
"1927","Non-freight-carrying vehicles","Dual fuel",0
"1928","Non-freight-carrying vehicles","Dual fuel",0
"1929","Non-freight-carrying vehicles","Dual fuel",0
"1930","Non-freight-carrying vehicles","Dual fuel",0
"1931","Non-freight-carrying vehicles","Dual fuel",0
"1932","Non-freight-carrying vehicles","Dual fuel",0
"1933","Non-freight-carrying vehicles","Dual fuel",0
"1934","Non-freight-carrying vehicles","Dual fuel",0
"1935","Non-freight-carrying vehicles","Dual fuel",0
"1936","Non-freight-carrying vehicles","Dual fuel",0
"1937","Non-freight-carrying vehicles","Dual fuel",0
"1938","Non-freight-carrying vehicles","Dual fuel",0
"1939","Non-freight-carrying vehicles","Dual fuel",0
"1940","Non-freight-carrying vehicles","Dual fuel",0
"1941","Non-freight-carrying vehicles","Dual fuel",0
"1942","Non-freight-carrying vehicles","Dual fuel",0
"1943","Non-freight-carrying vehicles","Dual fuel",0
"1944","Non-freight-carrying vehicles","Dual fuel",0
"1945","Non-freight-carrying vehicles","Dual fuel",0
"1946","Non-freight-carrying vehicles","Dual fuel",0
"1947","Non-freight-carrying vehicles","Dual fuel",0
"1948","Non-freight-carrying vehicles","Dual fuel",0
"1949","Non-freight-carrying vehicles","Dual fuel",0
"1950","Non-freight-carrying vehicles","Dual fuel",0
"1951","Non-freight-carrying vehicles","Dual fuel",0
"1952","Non-freight-carrying vehicles","Dual fuel",0
"1953","Non-freight-carrying vehicles","Dual fuel",0
"1954","Non-freight-carrying vehicles","Dual fuel",0
"1955","Non-freight-carrying vehicles","Dual fuel",0
"1956","Non-freight-carrying vehicles","Dual fuel",0
"1957","Non-freight-carrying vehicles","Dual fuel",0
"1958","Non-freight-carrying vehicles","Dual fuel",0
"1959","Non-freight-carrying vehicles","Dual fuel",0
"1960","Non-freight-carrying vehicles","Dual fuel",0
"1961","Non-freight-carrying vehicles","Dual fuel",0
"1962","Non-freight-carrying vehicles","Dual fuel",0
"1963","Non-freight-carrying vehicles","Dual fuel",0
"1964","Non-freight-carrying vehicles","Dual fuel",0
"1965","Non-freight-carrying vehicles","Dual fuel",0
"1966","Non-freight-carrying vehicles","Dual fuel",0
"1967","Non-freight-carrying vehicles","Dual fuel",0
"1968","Non-freight-carrying vehicles","Dual fuel",0
"1969","Non-freight-carrying vehicles","Dual fuel",0
"1970","Non-freight-carrying vehicles","Dual fuel",3
"1971","Non-freight-carrying vehicles","Dual fuel",0
"1972","Non-freight-carrying vehicles","Dual fuel",3
"1973","Non-freight-carrying vehicles","Dual fuel",0
"1974","Non-freight-carrying vehicles","Dual fuel",0
"1975","Non-freight-carrying vehicles","Dual fuel",0
"1976","Non-freight-carrying vehicles","Dual fuel",3
"1977","Non-freight-carrying vehicles","Dual fuel",3
"1978","Non-freight-carrying vehicles","Dual fuel",3
"1979","Non-freight-carrying vehicles","Dual fuel",0
"1980","Non-freight-carrying vehicles","Dual fuel",3
"1981","Non-freight-carrying vehicles","Dual fuel",3
"1982","Non-freight-carrying vehicles","Dual fuel",3
"1983","Non-freight-carrying vehicles","Dual fuel",3
"1984","Non-freight-carrying vehicles","Dual fuel",3
"1985","Non-freight-carrying vehicles","Dual fuel",0
"1986","Non-freight-carrying vehicles","Dual fuel",0
"1987","Non-freight-carrying vehicles","Dual fuel",0
"1988","Non-freight-carrying vehicles","Dual fuel",3
"1989","Non-freight-carrying vehicles","Dual fuel",0
"1990","Non-freight-carrying vehicles","Dual fuel",3
"1991","Non-freight-carrying vehicles","Dual fuel",3
"1992","Non-freight-carrying vehicles","Dual fuel",0
"1993","Non-freight-carrying vehicles","Dual fuel",3
"1994","Non-freight-carrying vehicles","Dual fuel",0
"1995","Non-freight-carrying vehicles","Dual fuel",0
"1996","Non-freight-carrying vehicles","Dual fuel",3
"1997","Non-freight-carrying vehicles","Dual fuel",3
"1998","Non-freight-carrying vehicles","Dual fuel",3
"1999","Non-freight-carrying vehicles","Dual fuel",3
"2000","Non-freight-carrying vehicles","Dual fuel",3
"2001","Non-freight-carrying vehicles","Dual fuel",3
"2002","Non-freight-carrying vehicles","Dual fuel",0
"2003","Non-freight-carrying vehicles","Dual fuel",3
"2004","Non-freight-carrying vehicles","Dual fuel",5
"2005","Non-freight-carrying vehicles","Dual fuel",10
"2006","Non-freight-carrying vehicles","Dual fuel",6
"2007","Non-freight-carrying vehicles","Dual fuel",6
"2008","Non-freight-carrying vehicles","Dual fuel",0
"2009","Non-freight-carrying vehicles","Dual fuel",0
"2010","Non-freight-carrying vehicles","Dual fuel",11
"2011","Non-freight-carrying vehicles","Dual fuel",6
"2012","Non-freight-carrying vehicles","Dual fuel",9
"2013","Non-freight-carrying vehicles","Dual fuel",7
"2014","Non-freight-carrying vehicles","Dual fuel",6
"2015","Non-freight-carrying vehicles","Dual fuel",9
"2016","Non-freight-carrying vehicles","Dual fuel",8
"2017","Non-freight-carrying vehicles","Dual fuel",12
"2018","Non-freight-carrying vehicles","Dual fuel",9
"2019","Non-freight-carrying vehicles","Dual fuel",7
"2020","Non-freight-carrying vehicles","Dual fuel",3
"2021","Non-freight-carrying vehicles","Dual fuel",7
"2022","Non-freight-carrying vehicles","Dual fuel",0
"2023","Non-freight-carrying vehicles","Dual fuel",6
"2024","Non-freight-carrying vehicles","Dual fuel",5
"2025","Non-freight-carrying vehicles","Dual fuel",0
"Not stated","Non-freight-carrying vehicles","Dual fuel",3
"1901","Non-freight-carrying vehicles","Hybrid electric",0
"1902","Non-freight-carrying vehicles","Hybrid electric",0
"1903","Non-freight-carrying vehicles","Hybrid electric",0
"1904","Non-freight-carrying vehicles","Hybrid electric",0
"1905","Non-freight-carrying vehicles","Hybrid electric",0
"1906","Non-freight-carrying vehicles","Hybrid electric",0
"1907","Non-freight-carrying vehicles","Hybrid electric",0
"1908","Non-freight-carrying vehicles","Hybrid electric",0
"1909","Non-freight-carrying vehicles","Hybrid electric",0
"1910","Non-freight-carrying vehicles","Hybrid electric",0
"1911","Non-freight-carrying vehicles","Hybrid electric",0
"1912","Non-freight-carrying vehicles","Hybrid electric",0
"1913","Non-freight-carrying vehicles","Hybrid electric",0
"1914","Non-freight-carrying vehicles","Hybrid electric",0
"1915","Non-freight-carrying vehicles","Hybrid electric",0
"1916","Non-freight-carrying vehicles","Hybrid electric",0
"1917","Non-freight-carrying vehicles","Hybrid electric",0
"1918","Non-freight-carrying vehicles","Hybrid electric",0
"1919","Non-freight-carrying vehicles","Hybrid electric",0
"1920","Non-freight-carrying vehicles","Hybrid electric",0
"1921","Non-freight-carrying vehicles","Hybrid electric",0
"1922","Non-freight-carrying vehicles","Hybrid electric",0
"1923","Non-freight-carrying vehicles","Hybrid electric",0
"1924","Non-freight-carrying vehicles","Hybrid electric",0
"1925","Non-freight-carrying vehicles","Hybrid electric",0
"1926","Non-freight-carrying vehicles","Hybrid electric",0
"1927","Non-freight-carrying vehicles","Hybrid electric",0
"1928","Non-freight-carrying vehicles","Hybrid electric",0
"1929","Non-freight-carrying vehicles","Hybrid electric",0
"1930","Non-freight-carrying vehicles","Hybrid electric",0
"1931","Non-freight-carrying vehicles","Hybrid electric",0
"1932","Non-freight-carrying vehicles","Hybrid electric",0
"1933","Non-freight-carrying vehicles","Hybrid electric",0
"1934","Non-freight-carrying vehicles","Hybrid electric",0
"1935","Non-freight-carrying vehicles","Hybrid electric",0
"1936","Non-freight-carrying vehicles","Hybrid electric",0
"1937","Non-freight-carrying vehicles","Hybrid electric",0
"1938","Non-freight-carrying vehicles","Hybrid electric",0
"1939","Non-freight-carrying vehicles","Hybrid electric",0
"1940","Non-freight-carrying vehicles","Hybrid electric",0
"1941","Non-freight-carrying vehicles","Hybrid electric",0
"1942","Non-freight-carrying vehicles","Hybrid electric",0
"1943","Non-freight-carrying vehicles","Hybrid electric",0
"1944","Non-freight-carrying vehicles","Hybrid electric",0
"1945","Non-freight-carrying vehicles","Hybrid electric",0
"1946","Non-freight-carrying vehicles","Hybrid electric",0
"1947","Non-freight-carrying vehicles","Hybrid electric",0
"1948","Non-freight-carrying vehicles","Hybrid electric",0
"1949","Non-freight-carrying vehicles","Hybrid electric",0
"1950","Non-freight-carrying vehicles","Hybrid electric",0
"1951","Non-freight-carrying vehicles","Hybrid electric",0
"1952","Non-freight-carrying vehicles","Hybrid electric",0
"1953","Non-freight-carrying vehicles","Hybrid electric",0
"1954","Non-freight-carrying vehicles","Hybrid electric",0
"1955","Non-freight-carrying vehicles","Hybrid electric",0
"1956","Non-freight-carrying vehicles","Hybrid electric",0
"1957","Non-freight-carrying vehicles","Hybrid electric",0
"1958","Non-freight-carrying vehicles","Hybrid electric",0
"1959","Non-freight-carrying vehicles","Hybrid electric",0
"1960","Non-freight-carrying vehicles","Hybrid electric",0
"1961","Non-freight-carrying vehicles","Hybrid electric",0
"1962","Non-freight-carrying vehicles","Hybrid electric",0
"1963","Non-freight-carrying vehicles","Hybrid electric",0
"1964","Non-freight-carrying vehicles","Hybrid electric",0
"1965","Non-freight-carrying vehicles","Hybrid electric",0
"1966","Non-freight-carrying vehicles","Hybrid electric",0
"1967","Non-freight-carrying vehicles","Hybrid electric",0
"1968","Non-freight-carrying vehicles","Hybrid electric",0
"1969","Non-freight-carrying vehicles","Hybrid electric",0
"1970","Non-freight-carrying vehicles","Hybrid electric",0
"1971","Non-freight-carrying vehicles","Hybrid electric",0
"1972","Non-freight-carrying vehicles","Hybrid electric",0
"1973","Non-freight-carrying vehicles","Hybrid electric",0
"1974","Non-freight-carrying vehicles","Hybrid electric",0
"1975","Non-freight-carrying vehicles","Hybrid electric",0
"1976","Non-freight-carrying vehicles","Hybrid electric",0
"1977","Non-freight-carrying vehicles","Hybrid electric",0
"1978","Non-freight-carrying vehicles","Hybrid electric",0
"1979","Non-freight-carrying vehicles","Hybrid electric",0
"1980","Non-freight-carrying vehicles","Hybrid electric",0
"1981","Non-freight-carrying vehicles","Hybrid electric",0
"1982","Non-freight-carrying vehicles","Hybrid electric",0
"1983","Non-freight-carrying vehicles","Hybrid electric",0
"1984","Non-freight-carrying vehicles","Hybrid electric",0
"1985","Non-freight-carrying vehicles","Hybrid electric",0
"1986","Non-freight-carrying vehicles","Hybrid electric",0
"1987","Non-freight-carrying vehicles","Hybrid electric",0
"1988","Non-freight-carrying vehicles","Hybrid electric",0
"1989","Non-freight-carrying vehicles","Hybrid electric",0
"1990","Non-freight-carrying vehicles","Hybrid electric",0
"1991","Non-freight-carrying vehicles","Hybrid electric",0
"1992","Non-freight-carrying vehicles","Hybrid electric",0
"1993","Non-freight-carrying vehicles","Hybrid electric",0
"1994","Non-freight-carrying vehicles","Hybrid electric",0
"1995","Non-freight-carrying vehicles","Hybrid electric",0
"1996","Non-freight-carrying vehicles","Hybrid electric",0
"1997","Non-freight-carrying vehicles","Hybrid electric",0
"1998","Non-freight-carrying vehicles","Hybrid electric",0
"1999","Non-freight-carrying vehicles","Hybrid electric",0
"2000","Non-freight-carrying vehicles","Hybrid electric",0
"2001","Non-freight-carrying vehicles","Hybrid electric",0
"2002","Non-freight-carrying vehicles","Hybrid electric",0
"2003","Non-freight-carrying vehicles","Hybrid electric",0
"2004","Non-freight-carrying vehicles","Hybrid electric",0
"2005","Non-freight-carrying vehicles","Hybrid electric",0
"2006","Non-freight-carrying vehicles","Hybrid electric",0
"2007","Non-freight-carrying vehicles","Hybrid electric",0
"2008","Non-freight-carrying vehicles","Hybrid electric",3
"2009","Non-freight-carrying vehicles","Hybrid electric",0
"2010","Non-freight-carrying vehicles","Hybrid electric",0
"2011","Non-freight-carrying vehicles","Hybrid electric",0
"2012","Non-freight-carrying vehicles","Hybrid electric",0
"2013","Non-freight-carrying vehicles","Hybrid electric",0
